Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Colliers International-Fire Alarm,20-1867BI,MI,,NA,,,,,,,,600.0,,,,,FA,484 and 486 Hazeldean Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colliers International-Route,20-1867BI,MI,,NA,,,,,,,,600.0,,,,,"FE,EL",484 and 486 Hazeldean Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,19-1127JP,MI,,NA,244484,,,,,,,391.25,,,,,"SPR,WET",301 Laurier Avenue West,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Fire Alarm,19-1127JP,MI,,NA,244484,,,,,,,391.25,,,,,FA,301 Laurier Avenue West,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,19-1127JP,MI,,NA,244484,,,,,,,391.25,,,,,"FE,EL,FHC",301 Laurier Avenue West,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,19-1127JP,AI,,NA,,,,,,,,391.25,,,,,"FP,SPR,WET",301 Laurier Avenue West,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Fire Alarm,19-1127JP,AI,,NA,,,,,,,,391.25,,,,,FA,301 Laurier Avenue West,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,19-1127JP,AI,,NA,,,,,,,,391.25,,,,,"FE,EL,FHC",301 Laurier Avenue West,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paradigm Properties-Sprinkler,"Jan 24, 2019",MI,,NA,,,,,,,,150.0,,,,,WET,4055 Carling Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paradigm Properties-Route,"Jan 24, 2019",MI,,NA,,,,,,,,150.0,,,,,"FE,EL",4055 Carling Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Symphony Senior Living Memory Care-Sprinkler,"Apr 17, 2019",AI,,NA,,,,,,,,0.0,,,,,"HYD,WET,DRY",1510 St. Joseph Blvd.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Symphony Senior Living Memory Care-Fire Alarm,"Apr 17, 2019",AI,,NA,,,,,,,,0.0,,,,,FA,1510 St. Joseph Blvd.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Symphony Senior Living Memory Care-Route,"Apr 17, 2019",AI,,NA,,,,,,,,0.0,,,,,"FE,EL,FLCS",1510 St. Joseph Blvd.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Symphony Senior Living Memory Care-Sprinkler,"Apr 17, 2019",MI/QI,,NA,,,,,,,,0.0,,,,,"WET,DRY",1510 St. Joseph Blvd.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Symphony Senior Living Memory Care-Fire Alarm,"Apr 17, 2019",MI/QI,,NA,,,,,,,,0.0,,,,,FA,1510 St. Joseph Blvd.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inside Edge Properties-Fire Alarm,"May 18, 2018",AI,,NA,,,,,,,,500.0,,,,,FA,5 Myrand,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,210.0,,,,,CURB_BOX,"Fallingbrook Shopping Centre, 1675 Tenth Line Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,210.0,,,,,CURB_BOX,"Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,273.0,,,,,CURB_BOX,"Trinity Crossing, 4210-4312 Innes and 2020 Lanthie",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,210.0,,,,,CURB_BOX,"March Road, Riocan Centre Kanata, 832-860 March Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,336.0,,,,,CURB_BOX,"Silver City Glouc,1525-2401CityPark&1750-1880 Ogil",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,87.0,,,,,CURB_BOX,"Merivale Market, 1461,63,65,69 Merivale Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,210.0,,,,,CURB_BOX,"Grant Crossing, 5527-47 and 5597-5617 Hazeldean Ro",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,210.0,,,,,CURB_BOX,"Innes and Belcourt, Lowes Orleans, 3752 Innes  Roa",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,168.0,,,,,CURB_BOX,"Silver City Hull, 115 boul. Du Plateau",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,700.0,,,,,HYD,"Fallingbrook Shopping Centre, 1675 Tenth Line Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Fallingbrook Shopping Centre, 1675 Tenth Line Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,700.0,,,,,HYD,"Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,875.0,,,,,HYD,"Trinity Crossing, 4210-4312 Innes and 2020 Lanthie",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Trinity Crossing, 4210-4312 Innes and 2020 Lanthie",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,350.0,,,,,HYD,"Lowes Hunt Club, 340-350 West Hunt Club Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Lowes Hunt Club, 340-350 West Hunt Club Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,525.0,,,,,HYD,"March Road Riocan Centre Kanata, 832-858 March Roa",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"March Road Riocan Centre Kanata, 832-858 March Roa",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,700.0,,,,,HYD,"Silver City Glouc,1525-2401CityPark&1750-1880 Ogil",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Silver City Glouc,1525-2401CityPark&1750-1880 Ogil",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,1400.0,,,,,HYD,"Chapman Mills Marketplace I and II, Barrhaven",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Chapman Mills Marketplace I and II, Barrhaven",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,350.0,,,,,HYD,"Merivale Market, 1461,63,65,69 Merivale Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Merivale Market, 1461,63,65,69 Merivale Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,1575.0,,,,,HYD,"Grant Crossing, 5527-47 and 5597-5617 Hazeldean Ro",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Grant Crossing, 5527-47 and 5597-5617 Hazeldean Ro",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,1575.0,,,,,HYD,"Innes and Belcourt, Lowes Orleans, 3752 Innes  Roa",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Innes and Belcourt, Lowes Orleans, 3752 Innes  Roa",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",AI,,NA,,,,,,,,700.0,,,,,HYD,"Silver City Hull, 115 boul. Du Plateau",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",SAI,,NA,,,,,,,,0.0,,,,,HYD,"Silver City Hull, 115 boul. Du Plateau",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Feb 13, 2019",AI,,NA,,,,,,,,1671.0,,,,,"WET,GLYCOL","Lincoln Fields SC, 2525 Carling Avenue",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Fire Alarm,"Feb 13, 2019",AI,,NA,,,,,,,,1671.0,,,,,FA,"Lincoln Fields SC, 2525 Carling Avenue",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Route,"Feb 13, 2019",AI,,NA,,,,,,,,1671.0,,,,,"FE,EL","Lincoln Fields SC, 2525 Carling Avenue",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Feb 13, 2019",MI,,NA,,,,,,,,290.0,,,,,WET,"Lincoln Fields SC, 2525 Carling Avenue",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Fire Alarm,"Feb 13, 2019",MI,,NA,,,,,,,,290.0,,,,,FA,"Lincoln Fields SC, 2525 Carling Avenue",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Route,"Feb 13, 2019",MI,,NA,,,,,,,,290.0,,,,,"FE,EL","Lincoln Fields SC, 2525 Carling Avenue",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 25, 2019",AI,,NA,,,,,,,,995.0,,,,,WET,"Heron Gate Mall, 1670 Heron and 1736 Walkley",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Fire Alarm,"Jan 25, 2019",AI,,NA,,,,,,,,995.0,,,,,FA,"Heron Gate Mall, 1670 Heron and 1736 Walkley",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 25, 2019",MI,,NA,,,,,,,,179.0,,,,,WET,"Heron Gate Mall, 1670 Heron and 1736 Walkley",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Fire Alarm,"Jan 25, 2019",MI,,NA,,,,,,,,179.0,,,,,FA,"Heron Gate Mall, 1670 Heron and 1736 Walkley",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Aug 7, 2018",QI,,NA,,,,,,,,84.0,,,,,CURB_BOX,"Lincoln Fields Shopping Centre, 2525 Carling Avenu",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Aug 7, 2018",QI,,NA,,,,,,,,126.0,,,,,CURB_BOX,"Cineplex, 3090 Carling Avenue",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Aug 7, 2018",QI,,NA,,,,,,,,84.0,,,,,CURB_BOX,"Riocan Rexall, 2950 Carling Avenue",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Aug 7, 2018",QI,,NA,,,,,,,,210.0,,,,,CURB_BOX,"Heron Gate Mall, 1670 Heron and 1736 Walkley",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Aug 7, 2018",QI,,NA,,,,,,,,375.0,,,,,CURB_BOX,"Riocan Renfrew Centre, 640 O'Brien Road, Renfrew",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Jan 9, 2019",MI,,NA,,,,,,,,336.0,,,,,CURB_BOX,"Chapman Mills Marketplace I and II, Barrhaven",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Nov 9, 2018",MI,,NA,,,,,,,,120.0,,,,,WET,"Fallingbrook Shopping Centre, 1675 Tenth Line Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Route,"Nov 9, 2018",MI,,NA,,,,,,,,120.0,,,,,"FE,EL","Fallingbrook Shopping Centre, 1675 Tenth Line Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Nov 9, 2018",AI,,NA,,,,,,,,345.0,,,,,WET,"Fallingbrook Shopping Centre, 1675 Tenth Line Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Route,"Nov 9, 2018",AI,,NA,,,,,,,,345.0,,,,,"FE,EL","Fallingbrook Shopping Centre, 1675 Tenth Line Road",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Nov 9, 2018",AI,,NA,,,,,,,,840.0,,,,,WET,"Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Fire Alarm,"Nov 9, 2018",AI,,NA,,,,,,,,840.0,,,,,FA,"Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Route,"Nov 9, 2018",AI,,NA,,,,,,,,840.0,,,,,"FE,EL","Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Sprinkler,"Nov 9, 2018",MI,,NA,,,,,,,,160.0,,,,,WET,"Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Fire Alarm,"Nov 9, 2018",MI,,NA,,,,,,,,160.0,,,,,FA,"Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riocan Management-Route,"Nov 9, 2018",MI,,NA,,,,,,,,160.0,,,,,"FE,EL","Riocan Orleans, 2023 Tenth Line and 4510 Innes Rd",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
