Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Morguard Investments Limited-Sprinkler,20-1998JD,AI,,NA,,,,,,,,1495.0,,,,,"HYD,SPR,WET,GLYCOL,PREACTION",365 March Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Fire Alarm,20-1998JD,AI,,NA,,,,,,,,1495.0,,,,,FA,365 March Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,20-1998JD,AI,,NA,,,,,,,,1495.0,,,,,"FE,EL,FHC",365 March Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,19-1835JP,SAI,,NA,,,,,,,,0.0,,,,,PREACTION,365 March Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prescott & Russell Residence-Route,19-1654BS,SAI,,,,,,,,,,,,,,,FLCS,"1020 Cartier Street, Hawkesbury",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prescott & Russell Residence-Sprinkler,20-1746JD,AI,,,,,,,,,,4760.0,,,,,SPR,"1020 Cartier Street, Hawkesbury",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prescott & Russell Residence-Fire Alarm,20-1746JD,AI,,,,,,,,,,4760.0,,,,,"FA,CO,EOL","1020 Cartier Street, Hawkesbury",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prescott & Russell Residence-Route,20-1746JD,AI,,,,,,,,,,4760.0,,,,,"FE,EL,FHC,FLCS","1020 Cartier Street, Hawkesbury",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Sprinkler,18-0212-0001BS,AI,,,,,,,,,,,,,,,"HYD,BF,SPR,WET,GLYCOL,PREACTION",1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Fire Alarm,18-0212-0001BS,AI,,,,,,,,,,,,,,,FA,1601 Tom Roberts,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
