Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0.1,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0.2,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Apollo Management-Route,19-1804BI,AI,,,,2021-11-01,11/01/2019,2021-10-31,,,,2540.0,,,,,"FE,EL,FHC",111 Echo Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,District Realty c/o 1048318 Ontario Inc.-Fire Alarm,19-1796MT,MI,,,,2021-01-01,01/01/2019,2020-12-31,,,,290.0,,,,,FA,2249 Carling Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,District Realty c/o 1048318 Ontario Inc.-Fire Alarm,19-1796MT,MI,,,,2021-01-01,01/01/2019,2020-12-31,,,,290.0,,,,,FA,2255 Carling Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,107759716 Canada-Sprinkler,20-1962MT,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,1150.0,,,,,"SPR,WET",691-697 Somerset Street West,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,107759716 Canada-Fire Alarm,20-1962MT,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,1150.0,,,,,FA,691-697 Somerset Street West,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,107759716 Canada-Route,20-1962MT,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,1150.0,,,,,"FE,EL",691-697 Somerset Street West,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Bridgeport-Sprinkler,19-1883BI,AI,,,,2021-12-01,12/01/2019,2021-11-30,,,,1500.0,,,,,"HYD,SPR,WET","640-646-648 O'Brien Rd, Renfrew",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Bridgeport-Fire Alarm,19-1883BI,AI,,,,2021-12-01,12/01/2019,2021-11-30,,,,1500.0,,,,,FA,"640-646-648 O'Brien Rd, Renfrew",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Bridgeport-Route,19-1883BI,AI,,,,2021-12-01,12/01/2019,2021-11-30,,,,1500.0,,,,,"FE,EL","640-646-648 O'Brien Rd, Renfrew",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Agilec-Route,19-1968,AI,,100095.0,,2021-01-01,01/01/2019,2020-12-31,,,,150.0,,,,,FE,"1900 City Park Dr, Suite 100",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-PreAction,19-1918JH,AI,,100013.0,,2021-01-01,01/01/2019,2020-12-31,,,,1850.0,,,,,,750 Palladium (Orbcomm),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-PreAction,19-1918JH,SAI,,100013.0,,2021-07-01,07/01/2019,2021-06-30,,,,0.0,,,,,,750 Palladium (Orbcomm),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Manotick Place Retirement Community-Route,20-08144-0001BS,SAI,,100259.0,,2021-03-01,03/01/2020,2021-02-28,,,,200.0,,,,,FLCS,"1145 Bridge Street, Manotick",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Tamir Foundation-Route,Bill,SAI,,,,,,,,,,325.0,,,,,FLCS,840 and 842 Broadview Ave,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Tamir Foundation-Route,Bill,AI,,,,,,,,,,199.0,,,,,FE,963 Hare,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,82 Beausoleil-Fire Alarm,,AI,,,,,,,,,,325.0,,,,,FA,82 Beausoleil,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,82 Beausoleil-Route,,AI,,,,,,,,,,325.0,,,,,"EL,EXT",82 Beausoleil,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Carling Realty Co.Ltd-Sprinkler,20-1017BI,QI,,,,2021-01-01,01/01/2020,2020-12-31,,,,450.0,,,,,"WET,DRY",100 Medhurst Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Carling Realty Co.Ltd-Fire Alarm,20-1017BI,QI,,,,2021-01-01,01/01/2020,2020-12-31,,,,450.0,,,,,FA,100 Medhurst Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Carling Realty Co.Ltd-Route,20-1017BI,QI,,,,2021-01-01,01/01/2020,2020-12-31,,,,450.0,,,,,"FE,FHC",100 Medhurst Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Carling Realty Co.Ltd-Sprinkler,20-1017BI,SAI,,,,2021-11-01,11/01/2020,2021-10-31,,,,450.0,,,,,"WET,DRY",100 Medhurst Drd,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Carling Realty Co.Ltd-Fire Alarm,20-1017BI,SAI,,,,2021-11-01,11/01/2020,2021-10-31,,,,450.0,,,,,FA,100 Medhurst Drd,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Carling Realty Co.Ltd-Route,20-1017BI,SAI,,,,2021-11-01,11/01/2020,2021-10-31,,,,450.0,,,,,"FE,FHC",100 Medhurst Drd,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington-Sprinkler,20-1169BI,BI,,,147,2021-01-01,01/01/2020,2020-12-31,,,,240.0,,,,,"SPR,WET","2175 Robertson, Ottawa",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington-Fire Alarm,20-1169BI,BI,,,147,2021-01-01,01/01/2020,2020-12-31,,,,240.0,,,,,FA,"2175 Robertson, Ottawa",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington-Route,20-1169BI,BI,,,147,2021-01-01,01/01/2020,2020-12-31,,,,240.0,,,,,"FE,EL","2175 Robertson, Ottawa",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cartling Realty Co. Ltd-Sprinkler,20-1017BS,SAI,,,,2021-01-01,01/01/2020,2020-12-31,,,,300.0,,,,,"WET,DRY",100 Medhurst Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cartling Realty Co. Ltd-Fire Alarm,20-1017BS,SAI,,,,2021-01-01,01/01/2020,2020-12-31,,,,300.0,,,,,FA,100 Medhurst Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
