Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Effective Date1,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.,Customer1,UnMatched
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,185 OWL DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,40 CASSIDY ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,3770 OLD RICHMOND ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,199 BERRIGAN DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,3810 6TH STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,19 PARKFIELD CRESCENT,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,63 BLUEGRASS DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,535 DOVERCOURT AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,824 BROOKFIELD ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,975 ORLEANS BOULEVARD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,250 CAMBRIDGE STREET NORTH,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,900 CANTEBURY AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1660 PRINCE OF WALES DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1401 MATHESON ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,55 MCCURDY DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,2630 GREY'S CREEK ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,2760 CEDARVIEW ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,376 GLOUCESTER STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,8 REDPINE DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,260 LEAMINGTON WAY,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,2605 ALTA VISTA DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,345 RAVENHILL AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1300 KITCHENER AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,2381 OGILVIE ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1445 WOODROFFE AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1149 GLADSTONE AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1708 GREY NUNS DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,31 MOODIE DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,595 MOODIE DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,919 WOODROFFE AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,100 BREEZEHILL AVENUE NORTH,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1310 PEBBLE ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1610 PRESTWICK DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,4 THE PARKWAY,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,310 ELGIN STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,15 DENIVERVILLE DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,20 ROSSLAND AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,49 IONA STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,2681 INNES ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,679 DEANCOURT CRESCENT,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,75 WATERBRIDGE DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1801 FEATHERSTON DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,777 FIELDING DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,73 FIRST AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,250 HOLLAND AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1570 FOREST VALLEY DRIVE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1453 STITTSVILLE MAIN STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,1025 HARKNESS AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,28 ARLINGTON AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,212 GLEBE AVENUE,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
,,,Annual fire extinguisher & fire hose Inspection-OTTAWA-CARLETON DISTRICT SCHOOL BOARD,15-033,,AI,NA,,09/19/2016,01/01/2020,01/01/2020,,,,,,,,,,182 MORRENA ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,OTTAWA-CARLETON DISTRICT SCHOOL BOARD
