Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Prime Corp.-Route,19-1189JP,AI,,NA,,04/01/2021,04/01/2019,01/01/2021,,,,595.0,,,,,EL,388 Irwin Miller Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,PrimeCorp-Sprinkler,19-1189JP,AI,,NA,,04/01/2021,04/01/2019,01/01/2021,,,,1425.0,,,,,"SPR,WET,DRY",61 McEwen Avenue - McEwen Towers,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,PrimeCorp-Fire Alarm,19-1189JP,AI,,NA,,04/01/2021,04/01/2019,01/01/2021,,,,1425.0,,,,,FA,61 McEwen Avenue - McEwen Towers,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,PrimeCorp-Route,19-1189JP,AI,,NA,,04/01/2021,04/01/2019,01/01/2021,,,,1425.0,,,,,"EL,FHC",61 McEwen Avenue - McEwen Towers,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Gold Key Management Corporation-Route,17-1193JP,AI,,NA,,,,01/01/2021,,,,495.0,,,,,"FE,EL",376-380 Crete Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Fire Alarm,20-1001JP,AI,,NA,,01/01/2021,01/01/2020,01/01/2021,,,,556.0,,,,,"FA,EOL",362 McArthur Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Route,20-1001JP,AI,,NA,,01/01/2021,01/01/2020,01/01/2021,,,,556.0,,,,,EL,362 McArthur Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspiration House (Groupe Lepine c/o Sussex House)-Sprinkler,11-1105,AI,,NA,,,,01/01/2021,,,,1340.0,,,,,"SPR,WET,GLYCOL",22 Murray Street - Sussex House,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspiration House (Groupe Lepine c/o Sussex House)-Fire Alarm,11-1105,AI,,NA,,,,01/01/2021,,,,1340.0,,,,,FA,22 Murray Street - Sussex House,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspiration House (Groupe Lepine c/o Sussex House)-Route,11-1105,AI,,NA,,,,01/01/2021,,,,1340.0,,,,,FHC,22 Murray Street - Sussex House,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Sprinkler,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,"HYD,SPR,WET,GLYCOL",750 Palladium Dr.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Fire Alarm,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,FA,750 Palladium Dr.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Route,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,"FE,EL",750 Palladium Dr.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Sprinkler,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,"SPR,WET,GLYCOL",700 Palladium Dr Phase I,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Fire Alarm,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,FA,700 Palladium Dr Phase I,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Route,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,"FE,EL",700 Palladium Dr Phase I,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Sprinkler,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,"HYD,SPR,WET,GLYCOL",770 Palladium Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Fire Alarm,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,FA,770 Palladium Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Route,20-1331MM,AI,,100013,,05/01/2021,05/01/2020,01/01/2021,,,,1545.0,,,,,"FE,EL,FHC",770 Palladium Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Sprinkler,15-1041MT,AI,,NA,,,,01/01/2021,,,,3550.0,,,,,"SPR,WET",240/250/260 Centrum Blvd/3095 St. Joseph,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Fire Alarm,15-1041MT,AI,,NA,,,,01/01/2021,,,,3550.0,,,,,FA,240/250/260 Centrum Blvd/3095 St. Joseph,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
