Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Morguard Investments Ltd.-Sprinkler,20-2005JD,AI,,100022,,12/01/2021,12/01/2020,01/01/2021,,,,702.5,,,,,"SPR,WET,GLYCOL",59 Camelot Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Morguard Investments Ltd.-Fire Alarm,20-2005JD,AI,,100022,,12/01/2021,12/01/2020,01/01/2021,,,,702.5,,,,,FA,59 Camelot Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Morguard Investments Ltd.-Route,20-2005JD,AI,,100022,,12/01/2021,12/01/2020,01/01/2021,,,,702.5,,,,,EL,59 Camelot Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Sprinkler,Tender,AI,,NA,,,,01/01/2021,,,,0.0,,,,,"HYD,SPR,WET",18 Auriga Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Fire Alarm,Tender,AI,,NA,,,,01/01/2021,,,,0.0,,,,,FA,18 Auriga Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Route,Tender,AI,,NA,,,,01/01/2021,,,,0.0,,,,,"FE,EL",18 Auriga Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Sprinkler,19-1760,AI,,100046,,11/01/2021,11/01/2019,01/01/2021,,,,1365.0,,,,,"SPR,DRY",377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Fire Alarm,19-1760,AI,,100046,,11/01/2021,11/01/2019,01/01/2021,,,,1365.0,,,,,FA,377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Route,19-1760,AI,,100046,,11/01/2021,11/01/2019,01/01/2021,,,,1365.0,,,,,"EL,FHC",377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Fire Alarm,20-1007JD,AI,,NA,,01/01/2021,01/01/2020,01/01/2021,,,,1355.0,,,,,"FA,CO","27 blvd. Lucerne/87 ch. Vanier, Aylmer",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
